## 1.1.1
## assembly	: /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/genomes/CCFEE_5748.Exophiala.sideris.sorted.fasta
## coverage	 bam0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_5748.Exophiala.sideris.remap.bam
## taxonomy	 tax0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/taxonomy/CCFEE_5748.Exophiala.sideris.diamond.tab.taxified.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
scaffold_1	6591160	0.5097	1883	115.4093	Eukaryota	8447.0	0	Ascomycota	8447.0	0	Chaetothyriales	8447.0	0	Herpotrichiellaceae	8447.0	0	Exophiala	8447.0	0	Exophiala sideris	8447.0	0
scaffold_2	10389	0.5107	0	2519.4673	Eukaryota	373.6	0	Ciliophora	373.6	0	Sporadotrichida	373.6	0	Oxytrichidae	373.6	0	Stylonychia	373.6	0	Stylonychia lemnae	373.6	0
scaffold_3	3628977	0.5089	506	115.2812	Eukaryota	6046.8	0	Ascomycota	6046.8	0	Chaetothyriales	6046.8	0	Herpotrichiellaceae	6046.8	0	Exophiala	6046.8	0	Exophiala sideris	6046.8	0
scaffold_4	4800540	0.5098	1488	114.9616	Eukaryota	8647.3	0	Ascomycota	8647.3	0	Chaetothyriales	8647.3	0	Herpotrichiellaceae	8647.3	0	Exophiala	8647.3	0	Exophiala sideris	8647.3	0
scaffold_5	2971714	0.5038	887	114.6356	Eukaryota	7423.2	0	Ascomycota	7423.2	0	Chaetothyriales	7423.2	0	Herpotrichiellaceae	7423.2	0	Exophiala	7423.2	0	Exophiala sideris	7423.2	0
scaffold_6	3538008	0.5105	897	115.3732	Eukaryota	5472.5	0	Ascomycota	5472.5	0	Chaetothyriales	5472.5	0	Herpotrichiellaceae	5472.5	0	Exophiala	5472.5	0	Exophiala sideris	5472.5	0
scaffold_7	3656333	0.5081	1294	114.9818	Eukaryota	4942.5	0	Ascomycota	4942.5	0	Chaetothyriales	4942.5	0	Herpotrichiellaceae	4942.5	0	Exophiala	4942.5	0	Exophiala sideris	4942.5	0
scaffold_8	3606485	0.5077	893	114.1425	Eukaryota	8717.4	0	Ascomycota	8717.4	0	Chaetothyriales	8717.4	0	Herpotrichiellaceae	8717.4	0	Exophiala	8717.4	0	Exophiala sideris	8717.4	0
scaffold_9	117511	0.5122	0	125.3108	Eukaryota	3127.0	0	Ascomycota	3127.0	0	Chaetothyriales	3127.0	0	Herpotrichiellaceae	3127.0	0	Phialophora	3127.0	0	Phialophora attae	3127.0	0
scaffold_10	111918	0.4677	196	105.2234	Eukaryota	1241.5	0	Ascomycota	1241.5	0	Chaetothyriales	1241.5	0	Herpotrichiellaceae	1241.5	0	Exophiala	1241.5	0	Exophiala sideris	1241.5	0
