## 1.1.1
## assembly	: /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/genomes/CCFEE_6327.Exophiala.oligosperma.sorted.fasta
## coverage	 bam0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/bam/CCFEE_6327.Exophiala.oligosperma.remap.bam
## taxonomy	 tax0 - /bigdata/stajichlab/tkurb001/2020/Illumina_Black_Yeasts/Xenobiotica/blobplot/taxonomy/CCFEE_6327.Exophiala.oligosperma.diamond.tab.taxified.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	superkingdom.t.6%s	superkingdom.s.7%s	superkingdom.c.8	phylum.t.9%s	phylum.s.10%s	phylum.c.11	order.t.12%s	order.s.13%s	order.c.14	family.t.15%s	family.s.16%s	family.c.17	genus.t.18%s	genus.s.19%s	genus.c.20	species.t.21%s	species.s.22%s	species.c.23
scaffold_1	6126922	0.504	1139	84.453	Eukaryota	8467.8	0	Ascomycota	8467.8	0	Chaetothyriales	8467.8	0	Herpotrichiellaceae	8467.8	0	Exophiala	8467.8	0	Exophiala oligosperma	8467.8	0
scaffold_2	7243	0.5089	20	1068.4803	Eukaryota	618.2	0	Streptophyta	618.2	0	Fabales	618.2	0	Fabaceae	618.2	0	Glycine	618.2	0	Glycine max	618.2	0
scaffold_3	5226885	0.5084	1578	84.4632	Eukaryota	6127.0	0	Ascomycota	6127.0	0	Chaetothyriales	6127.0	0	Herpotrichiellaceae	6127.0	0	Exophiala	6127.0	0	Exophiala oligosperma	6127.0	0
scaffold_4	5398057	0.5081	1298	84.2597	Eukaryota	9504.0	0	Ascomycota	9504.0	0	Chaetothyriales	9504.0	0	Herpotrichiellaceae	9504.0	0	Exophiala	9504.0	0	Exophiala oligosperma	9504.0	0
scaffold_5	4448141	0.5077	767	84.6793	Eukaryota	7356.9	0	Ascomycota	7356.9	0	Chaetothyriales	7356.9	0	Herpotrichiellaceae	7356.9	0	Exophiala	7356.9	0	Exophiala oligosperma	7356.9	0
scaffold_6	4253462	0.5085	975	84.4031	Eukaryota	4814.2	0	Ascomycota	4814.2	0	Chaetothyriales	4814.2	0	Herpotrichiellaceae	4814.2	0	Exophiala	4814.2	0	Exophiala oligosperma	4814.2	0
scaffold_7	4954592	0.508	1893	84.4939	Eukaryota	5019.9	0	Ascomycota	5019.9	0	Chaetothyriales	5019.9	0	Herpotrichiellaceae	5019.9	0	Exophiala	5019.9	0	Exophiala oligosperma	5019.9	0
scaffold_8	4228427	0.5074	674	84.1058	Eukaryota	8893.5	0	Ascomycota	8893.5	0	Chaetothyriales	8893.5	0	Herpotrichiellaceae	8893.5	0	Exophiala	8893.5	0	Exophiala oligosperma	8893.5	0
scaffold_9	74732	0.4094	0	70.0665	Eukaryota	3118.2	0	Ascomycota	3118.2	0	Chaetothyriales	3118.2	0	Herpotrichiellaceae	3118.2	0	Exophiala	3118.2	0	Exophiala oligosperma	3118.2	0
scaffold_10	48805	0.5119	0	83.632	Eukaryota	1483.8	0	Ascomycota	1483.8	0	Chaetothyriales	1483.8	0	Herpotrichiellaceae	1483.8	0	Exophiala	1483.8	0	Exophiala oligosperma	1483.8	0
scaffold_11	46074	0.435	0	77.5113	Eukaryota	695.7	0	Ascomycota	695.7	0	Chaetothyriales	695.7	0	Herpotrichiellaceae	695.7	0	Exophiala	695.7	0	Exophiala spinifera	695.7	0
scaffold_12	38947	0.5002	0	84.5109	Eukaryota	445.7	0	Ascomycota	445.7	0	Chaetothyriales	445.7	0	Herpotrichiellaceae	445.7	0	Exophiala	445.7	0	Exophiala oligosperma	445.7	0
scaffold_13	31110	0.5059	0	84.0479	Eukaryota	1728.8	0	Ascomycota	1728.8	0	Chaetothyriales	1728.8	0	Herpotrichiellaceae	1728.8	0	Exophiala	1728.8	0	Exophiala oligosperma	1728.8	0
scaffold_14	30265	0.2506	0	228.3088	Eukaryota	1089.3	0	Ascomycota	1089.3	0	Chaetothyriales	1089.3	0	Herpotrichiellaceae	1089.3	0	Exophiala	1089.3	0	Exophiala dermatitidis	1089.3	0
scaffold_15	27950	0.504	10	85.6747	Eukaryota	2141.3	0	Ascomycota	2141.3	0	Eurotiales	2141.3	0	Trichocomaceae	2141.3	0	Talaromyces	2141.3	0	Talaromyces marneffei	2141.3	0
scaffold_16	25793	0.5034	0	88.9565	Eukaryota	753.4	0	Ascomycota	753.4	0	Chaetothyriales	753.4	0	Herpotrichiellaceae	753.4	0	Exophiala	753.4	0	Exophiala oligosperma	753.4	0
scaffold_17	24404	0.4573	0	79.7256	Eukaryota	1104.7	0	Ascomycota	1104.7	0	Chaetothyriales	1104.7	0	Herpotrichiellaceae	1104.7	0	Exophiala	1104.7	0	Exophiala oligosperma	1104.7	0
scaffold_18	24250	0.5074	0	88.1787	Eukaryota	1445.1999999999998	0	Ascomycota	1445.1999999999998	0	Chaetothyriales	1445.1999999999998	0	Herpotrichiellaceae	1445.1999999999998	0	Exophiala	1445.1999999999998	0	Exophiala oligosperma	1445.1999999999998	0
scaffold_19	22040	0.4322	0	78.2116	Eukaryota	580.4	0	Ascomycota	580.4	0	Chaetothyriales	580.4	0	Herpotrichiellaceae	580.4	0	Exophiala	580.4	0	Exophiala sideris	580.4	0
scaffold_20	21163	0.4884	0	109.4421	Eukaryota	612.5	0	Ascomycota	612.5	0	Chaetothyriales	612.5	0	Herpotrichiellaceae	612.5	0	Exophiala	612.5	0	Exophiala oligosperma	612.5	0
scaffold_21	20119	0.3759	0	64.0901	Eukaryota	712.2	0	Ascomycota	712.2	0	Chaetothyriales	712.2	0	Herpotrichiellaceae	712.2	0	Fonsecaea	712.2	0	Fonsecaea multimorphosa	712.2	0
scaffold_22	18529	0.4775	96	81.5668	Eukaryota	746.1	0	Ascomycota	746.1	0	Chaetothyriales	746.1	0	Herpotrichiellaceae	746.1	0	Exophiala	746.1	0	Exophiala spinifera	746.1	0
scaffold_23	15988	0.4946	195	87.5787	Eukaryota	635.2	0	Ascomycota	635.2	0	Chaetothyriales	635.2	0	Herpotrichiellaceae	635.2	0	Fonsecaea	635.2	0	Fonsecaea erecta	635.2	0
scaffold_24	15292	0.4744	97	80.9114	Eukaryota	629.0	0	Ascomycota	629.0	0	Chaetothyriales	629.0	0	Herpotrichiellaceae	629.0	0	Exophiala	629.0	0	Exophiala oligosperma	629.0	0
scaffold_25	15071	0.4746	0	101.8572	Eukaryota	557.0	0	Ascomycota	557.0	0	Chaetothyriales	557.0	0	Herpotrichiellaceae	557.0	0	Exophiala	557.0	0	Exophiala oligosperma	557.0	0
scaffold_26	14034	0.5046	0	93.2797	Eukaryota	823.5	0	Ascomycota	823.5	0	Hypocreales	823.5	0	Ophiocordycipitaceae	823.5	0	Purpureocillium	823.5	0	Purpureocillium lilacinum	823.5	0
scaffold_27	13492	0.5093	0	84.6367	Eukaryota	1492.2	0	Ascomycota	1492.2	0	Chaetothyriales	1492.2	0	Herpotrichiellaceae	1492.2	0	Exophiala	1492.2	0	Exophiala oligosperma	1492.2	0
scaffold_28	13160	0.3136	0	66.2293	Eukaryota	616.7	0	Ascomycota	616.7	0	Chaetothyriales	616.7	0	Herpotrichiellaceae	616.7	0	Exophiala	616.7	0	Exophiala oligosperma	616.7	0
scaffold_29	12506	0.3067	0	60.1923	Eukaryota	772.3	0	Ascomycota	772.3	0	Chaetothyriales	772.3	0	Cyphellophoraceae	772.3	0	Cyphellophora	772.3	0	Cyphellophora europaea	772.3	0
scaffold_30	11961	0.4608	0	81.9978	Eukaryota	753.8	0	Ascomycota	753.8	0	Chaetothyriales	753.8	0	Herpotrichiellaceae	753.8	0	Exophiala	753.8	0	Exophiala oligosperma	753.8	0
scaffold_31	11582	0.4212	0	79.6138	Eukaryota	1050.0	0	Ascomycota	1050.0	0	Chaetothyriales	1050.0	0	Herpotrichiellaceae	1050.0	0	Cladophialophora	1050.0	0	Cladophialophora immunda	1050.0	0
scaffold_32	11523	0.4932	0	94.6285	Eukaryota	1568.5	0	Ascomycota	1568.5	0	Chaetothyriales	1568.5	0	Herpotrichiellaceae	1568.5	0	Exophiala	1568.5	0	Exophiala oligosperma	1568.5	0
scaffold_33	11099	0.5027	0	104.3457	Eukaryota	1238.0	0	Ascomycota	1238.0	0	Chaetothyriales	1238.0	0	Herpotrichiellaceae	1238.0	0	Exophiala	1238.0	0	Exophiala oligosperma	1238.0	0
scaffold_34	10736	0.2317	0	48.5572	Eukaryota	496.5	0	Ascomycota	496.5	0	Chaetothyriales	496.5	0	Herpotrichiellaceae	496.5	0	Capronia	496.5	0	Capronia epimyces	496.5	0
scaffold_35	9616	0.5162	0	170.2787	Eukaryota	243.0	0	Ascomycota	243.0	0	Chaetothyriales	243.0	0	Herpotrichiellaceae	243.0	0	Fonsecaea	243.0	0	Fonsecaea erecta	243.0	0
